Suburb/Town Name,Postcode,Local Government Area,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,%_crime_change,crime_quartile,%_property_incr
Blackwood,3458,Moorabool,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,9.0,727.27,4.0,135.48
Bonnie Doon,3720,Mansfield,1.0,5.0,1.0,2.0,0.0,1.0,1.0,8.0,16.0,9.0,727.27,4.0,205.0
Wantirna,3152,Knox,15.0,50.0,62.0,87.0,45.0,63.0,74.0,127.0,105.0,122.0,708.61,4.0,91.84
Pascoe Vale South,3044,Merri-bek,6.0,23.0,35.0,40.0,39.0,68.0,42.0,41.0,39.0,49.0,704.92,4.0,72.89
Blackburn North,3130,Whitehorse,9.0,8.0,11.0,13.0,16.0,8.0,17.0,27.0,28.0,72.0,692.31,4.0,106.72
Cowes,3922,Bass Coast,16.0,48.0,70.0,85.0,30.0,52.0,80.0,173.0,179.0,126.0,683.23,4.0,177.27
North Bendigo,3550,Greater Bendigo,14.0,29.0,34.0,57.0,43.0,61.0,53.0,114.0,124.0,110.0,680.85,4.0,91.88
Keilor Park,3042,Brimbank,3.0,11.0,25.0,15.0,26.0,24.0,20.0,14.0,23.0,24.0,677.42,4.0,108.79
St Leonards,3223,Greater Geelong,4.0,10.0,22.0,4.0,17.0,18.0,26.0,23.0,22.0,31.0,658.54,4.0,124.57
Woori Yallock,3139,Yarra Ranges,13.0,10.0,21.0,29.0,31.0,10.0,15.0,17.0,144.0,99.0,656.49,4.0,86.52
Point Cook,3030,Wyndham,43.0,103.0,128.0,204.0,271.0,191.0,272.0,361.0,353.0,324.0,651.97,4.0,64.44
Ardeer,3022,Brimbank,9.0,11.0,19.0,45.0,45.0,63.0,32.0,40.0,25.0,68.0,648.35,4.0,123.48
Vermont South,3133,Whitehorse,5.0,3.0,13.0,23.0,68.0,45.0,40.0,62.0,68.0,38.0,647.06,4.0,100.83
Briar Hill,3088,Banyule,3.0,1.0,23.0,18.0,8.0,39.0,39.0,16.0,8.0,23.0,645.16,4.0,111.79
Murrumbeena,3163,Glen Eira,12.0,29.0,15.0,54.0,37.0,50.0,66.0,40.0,49.0,90.0,644.63,4.0,101.72
