Year,Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Count,Median
2017,Hobsons Bay,3025,Altona North,E Justice procedures offences,E10 Justice procedures,33,828000.0
2017,Hobsons Bay,3025,Altona North,E Justice procedures offences,E20 Breaches of orders,103,828000.0
2018,Hobsons Bay,3025,Altona North,E Justice procedures offences,E10 Justice procedures,23,830000.0
2018,Hobsons Bay,3025,Altona North,E Justice procedures offences,E20 Breaches of orders,189,830000.0
2019,Hobsons Bay,3025,Altona North,E Justice procedures offences,E10 Justice procedures,33,780000.0
2019,Hobsons Bay,3025,Altona North,E Justice procedures offences,E20 Breaches of orders,180,780000.0
2020,Hobsons Bay,3025,Altona North,E Justice procedures offences,E10 Justice procedures,16,830000.0
2020,Hobsons Bay,3025,Altona North,E Justice procedures offences,E20 Breaches of orders,127,830000.0
2021,Hobsons Bay,3025,Altona North,E Justice procedures offences,E10 Justice procedures,14,960000.0
2021,Hobsons Bay,3025,Altona North,E Justice procedures offences,E20 Breaches of orders,71,960000.0
2022,Hobsons Bay,3025,Altona North,E Justice procedures offences,E10 Justice procedures,23,920000.0
2022,Hobsons Bay,3025,Altona North,E Justice procedures offences,E20 Breaches of orders,63,920000.0
2013,Surf Coast,3230,Anglesea,E Justice procedures offences,E10 Justice procedures,4,550000.0
2013,Surf Coast,3230,Anglesea,E Justice procedures offences,E20 Breaches of orders,5,550000.0
2014,Surf Coast,3230,Anglesea,E Justice procedures offences,E20 Breaches of orders,2,612500.0
2016,Surf Coast,3230,Anglesea,E Justice procedures offences,E10 Justice procedures,4,652500.0
2016,Surf Coast,3230,Anglesea,E Justice procedures offences,E20 Breaches of orders,10,652500.0
2017,Surf Coast,3230,Anglesea,E Justice procedures offences,E20 Breaches of orders,2,788000.0
2018,Surf Coast,3230,Anglesea,E Justice procedures offences,E10 Justice procedures,1,870000.0
2018,Surf Coast,3230,Anglesea,E Justice procedures offences,E20 Breaches of orders,14,870000.0
2019,Surf Coast,3230,Anglesea,E Justice procedures offences,E20 Breaches of orders,32,915000.0
2020,Surf Coast,3230,Anglesea,E Justice procedures offences,E10 Justice procedures,4,1100000.0
2020,Surf Coast,3230,Anglesea,E Justice procedures offences,E20 Breaches of orders,4,1100000.0
2021,Surf Coast,3230,Anglesea,E Justice procedures offences,E20 Breaches of orders,10,1440000.0
2022,Surf Coast,3230,Anglesea,E Justice procedures offences,E20 Breaches of orders,2,1712500.0
2013,Colac-Otway,3233,Apollo Bay,E Justice procedures offences,E20 Breaches of orders,24,450000.0
2014,Colac-Otway,3233,Apollo Bay,E Justice procedures offences,E20 Breaches of orders,6,457500.0
2015,Colac-Otway,3233,Apollo Bay,E Justice procedures offences,E10 Justice procedures,3,435000.0
2015,Colac-Otway,3233,Apollo Bay,E Justice procedures offences,E20 Breaches of orders,6,435000.0
2016,Colac-Otway,3233,Apollo Bay,E Justice procedures offences,E10 Justice procedures,1,480000.0
2016,Colac-Otway,3233,Apollo Bay,E Justice procedures offences,E20 Breaches of orders,6,480000.0
2018,Colac-Otway,3233,Apollo Bay,E Justice procedures offences,E10 Justice procedures,1,555000.0
2018,Colac-Otway,3233,Apollo Bay,E Justice procedures offences,E20 Breaches of orders,29,555000.0
2019,Colac-Otway,3233,Apollo Bay,E Justice procedures offences,E20 Breaches of orders,20,600000.0
2020,Colac-Otway,3233,Apollo Bay,E Justice procedures offences,E10 Justice procedures,4,710000.0
2020,Colac-Otway,3233,Apollo Bay,E Justice procedures offences,E20 Breaches of orders,12,710000.0
2021,Colac-Otway,3233,Apollo Bay,E Justice procedures offences,E10 Justice procedures,4,914500.0
2021,Colac-Otway,3233,Apollo Bay,E Justice procedures offences,E20 Breaches of orders,27,914500.0
2022,Colac-Otway,3233,Apollo Bay,E Justice procedures offences,E10 Justice procedures,9,1160000.0
